ID_hecho,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO
2018-0018,2018-02-17,MOTO,26,2018-02-17
2018-0019,2018-02-17,PEATON,80,2018-02-17
2018-0020,2018-02-19,MOTO,26,2018-02-19
2018-0021,2018-02-22,PEATON,62,2018-02-22
2018-0022,2018-02-24,MOTO,28,2018-02-24
2018-0023,2018-02-24,MOTO,28,2018-02-24
2018-0024,2018-02-28,PEATON,70,2018-02-28
2018-0025,2018-03-04,PEATON,70,2018-03-05
2018-0026,2018-03-09,MOVIL,24,2018-03-09
2018-0026,2018-03-09,MOVIL,30,2018-03-09
2018-0027,2018-03-11,PEATON,74,2018-03-11
2018-0028,2018-03-13,PEATON,71,2018-03-13
2018-0029,2018-03-15,MOTO,26,2018-03-15
2018-0030,2018-03-20,MOTO,24,2018-03-20
2018-0031,2018-03-28,MOTO,31,2018-03-28
2018-0032,2018-04-02,PEATON,70,2018-04-02
2018-0033,2018-04-07,MOTO,42,2018-04-10
2018-0034,2018-04-11,PEATON,24,2018-04-11
2018-0035,2018-04-12,PEATON,39,2018-04-12
2018-0036,2018-04-13,MOTO,37,2018-04-15
2018-0037,2018-04-18,PEATON,84,2018-04-19
2018-0038,2018-04-20,PEATON,59,2018-04-20
2018-0038,2018-04-20,PEATON,61,2018-04-20
2018-0039,2018-04-21,PEATON,37,2018-04-21
2018-0040,2018-04-27,PEATON,SD,2018-04-27
2018-0041,2018-04-27,PEATON,78,2018-04-27
2018-0042,2018-04-27,MOTO,23,2018-04-27
2018-0043,2018-04-28,MOTO,25,2018-04-29
2018-0044,2018-04-28,PEATON,50,2018-04-28
2018-0045,2018-04-30,AUTO,60,2018-04-30
2018-0046,2018-05-02,PEATON,11,2018-05-02
2018-0047,2018-05-08,PEATON,82,2018-05-09
2018-0048,2018-05-09,PEATON,57,2018-05-16
2018-0049,2018-05-11,PEATON,40,2018-05-13
2018-0050,2018-05-14,PEATON,47,2018-05-24
2018-0051,2018-05-15,PEATON,57,2018-05-15
2018-0052,2018-05-18,PEATON,78,2018-05-19
2018-0053,2018-05-20,MOTO,43,2018-05-20
2018-0054,2018-05-22,PEATON,86,2018-05-25
2018-0055,2018-05-29,MOTO,21,2018-05-29
2018-0056,2018-06-02,PEATON,69,2018-06-04
2018-0057,2018-06-03,MOTO,33,2018-06-04
2018-0058,2018-06-03,MOTO,26,2018-06-13
2018-0059,2018-06-08,MOTO,54,2018-06-08
2018-0060,2018-06-08,PEATON,51,2018-06-08
2018-0061,2018-06-10,MOTO,51,2018-06-10
2018-0062,2018-06-14,PEATON,32,2018-06-14
2018-0063,2018-06-16,PEATON,28,2018-06-17
2018-0064,2018-06-25,AUTO,30,2018-06-25
2018-0065,2018-06-26,MOTO,35,2018-06-26
2018-0066,2018-06-28,PEATON,73,2018-06-28
2018-0067,2018-06-29,PASAJEROS,81,2018-07-06
2018-0068,2018-07-01,MOTO,21,2018-07-01
2018-0069,2018-07-04,BICICLETA,20,2018-07-04
2018-0070,2018-07-07,MOTO,33,2018-07-07
2018-0071,2018-07-10,MOTO,SD,2018-07-10
2018-0072,2018-07-11,MOTO,27,2018-07-13
2018-0073,2018-07-11,PEATON,67,2018-07-11
2018-0074,2018-07-14,AUTO,25,2018-07-14
2018-0075,2018-07-15,PEATON,23,2018-07-15
2018-0076,2018-07-16,AUTO,73,2018-07-16
2018-0077,2018-07-16,AUTO,58,2018-07-17
2018-0078,2018-07-21,PEATON,27,2018-07-21
2018-0079,2018-07-23,PEATON,SD,2018-07-23
2018-0080,2018-07-25,PEATON,26,2018-07-25
2018-0081,2018-07-29,PEATON,35,2018-07-29
2018-0082,2018-08-01,MOTO,17,2018-08-01
2018-0083,2018-08-02,MOTO,SD,2018-08-02
2018-0084,2018-08-03,PEATON,45,2018-08-03
2018-0085,2018-08-03,MOTO,22,2018-08-03
2018-0085,2018-08-03,MOTO,30,2018-08-03
2018-0086,2018-08-10,PEATON,40,2018-08-10
2018-0087,2018-08-15,PEATON,75,2018-08-20
2018-0088,2018-08-17,MOTO,SD,2018-08-17
2018-0089,2018-08-17,PEATON,80,2018-08-17
2018-0090,2018-08-18,MOTO,27,2018-08-18
2018-0091,2018-08-19,AUTO,23,2018-08-19
2018-0092,2018-08-20,MOTO,23,2018-08-20
2018-0093,2018-08-20,PEATON,24,2018-08-20
2018-0094,2018-08-23,MOTO,32,2018-08-23
2018-0095,2018-08-26,AUTO,49,2018-08-26
2018-0096,2018-08-31,PEATON,39,2018-08-31
2018-0097,2018-09-02,AUTO,35,2018-09-02
2018-0098,2018-09-09,AUTO,55,2018-09-09
2018-0098,2018-09-09,AUTO,54,2018-09-09
2018-0099,2018-09-12,PEATON,18,2018-09-13
2018-0100,2018-09-20,MOTO,33,2018-09-20
2018-0101,2018-09-21,AUTO,SD,2018-09-21
2018-0102,2018-09-21,MOTO,20,2018-09-21
2018-0103,2018-09-27,PEATON,1,2018-09-29
2018-0104,2018-10-01,MOTO,22,2018-10-01
2018-0105,2018-10-03,PEATON,56,2018-10-03
2018-0106,2018-10-04,MOTO,27,2018-10-04
2018-0107,2018-10-06,PEATON,62,2018-10-06
2018-0108,2018-10-09,MOTO,37,2018-10-10
2018-0109,2018-10-10,PEATON,34,2018-10-10
2018-0110,2018-10-13,PEATON,60,2018-10-14
2018-0111,2018-10-19,MOTO,28,2018-10-19
2018-0112,2018-10-24,MOTO,28,2018-10-24
2018-0113,2018-10-25,MOTO,20,2018-10-25
2018-0114,2018-10-30,MOTO,23,2018-10-30
2018-0115,2018-10-31,PEATON,42,2018-11-01
2018-0116,2018-11-01,PEATON,48,2018-11-08
