ID,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO,RANGO_ETARIO
2018-0105,2018-10-03,PEATON,56.0,2018-10-03,46-60
2018-0106,2018-10-04,MOTO,27.0,2018-10-04,19-30
2018-0107,2018-10-06,PEATON,62.0,2018-10-06,61+
2018-0108,2018-10-09,MOTO,37.0,2018-10-10,31-45
2018-0109,2018-10-10,PEATON,34.0,2018-10-10,31-45
2018-0110,2018-10-13,PEATON,60.0,2018-10-14,61+
2018-0111,2018-10-19,MOTO,28.0,2018-10-19,19-30
2018-0112,2018-10-24,MOTO,28.0,2018-10-24,19-30
2018-0113,2018-10-25,MOTO,20.0,2018-10-25,19-30
2018-0114,2018-10-30,MOTO,23.0,2018-10-30,19-30
2018-0115,2018-10-31,PEATON,42.0,2018-11-01,31-45
2018-0116,2018-11-01,PEATON,48.0,2018-11-08,46-60
2018-0117,2018-11-04,MOTO,30.0,2018-11-08,31-45
2018-0118,2018-11-05,PEATON,80.0,2018-11-05,61+
2018-0119,2018-11-05,PEATON,32.0,2018-11-06,31-45
2018-0120,2018-11-09,PEATON,51.0,2018-11-20,46-60
2018-0121,2018-11-09,PEATON,72.0,2018-11-09,61+
2018-0122,2018-11-12,AUTO,33.0,2018-11-12,31-45
2018-0123,2018-11-12,AUTO,25.0,2018-11-12,19-30
2018-0124,2018-11-15,CARGAS,44.0,2018-11-15,31-45
2018-0125,2018-11-16,PEATON,29.0,2018-11-17,19-30
2018-0126,2018-11-18,MOTO,27.0,2018-11-23,19-30
2018-0127,2018-11-19,MOTO,29.0,2018-11-19,19-30
2018-0128,2018-11-25,AUTO,49.0,2018-11-25,46-60
2018-0128,2018-11-25,AUTO,39.0,2018-11-25,31-45
2018-0129,2018-11-28,MOTO,37.0,2018-11-30,31-45
2018-0130,2018-12-03,MOTO,,2018-12-03,
2018-0131,2018-12-07,MOTO,29.0,2018-12-07,19-30
2018-0132,2018-12-12,PEATON,70.0,2018-12-12,61+
2018-0133,2018-12-12,PEATON,60.0,2018-12-12,61+
2018-0134,2018-12-12,PEATON,56.0,2018-12-13,46-60
2018-0135,2018-12-18,PEATON,80.0,2018-12-22,61+
